MUNICIPALITY_NAME,geometry
VILLIMPENTA,POINT (11.0145806 45.1344073)
GOTTOLENGO,POINT (10.2733929 45.3091509)
DUBINO,POINT (9.4459651 46.1669206)
TRESIVIO,POINT (9.9505372 46.2000665)
SPINADESCO,POINT (9.9338007 45.1324332)
PALADINA,POINT (9.6134905 45.7290471)
ALMENNO SAN SALVATORE,POINT (9.5897753 45.7514808)
MONZA,POINT (9.2757063 45.592729)
ZOGNO,POINT (9.6779623 45.7965207)
SANT'ALESSIO CON VIALONE,POINT (9.230015 45.2246508)
BRIOSCO,POINT (9.2492912 45.7146836)
SANTA MARIA HOE',POINT (9.3761302 45.7425106)
LODI VECCHIO,POINT (9.4189649 45.3010752)
DESIO,POINT (9.2048853 45.6162892)
PEGLIO,POINT (9.2773631 46.1796308)
PESCAROLO ED UNITI,POINT (10.1991888 45.1951534)
INZAGO,POINT (9.4787763 45.5404492)
BREMBIO,POINT (9.5641852 45.2123219)
MISINTO,POINT (9.0792193 45.6586858)
PALAZZO PIGNANO,POINT (9.5841041 45.4014133)
VALNEGRA,POINT (9.6846592 45.9587662)
COSTA VALLE IMAGNA,POINT (9.5020976 45.8021051)
SONCINO,POINT (9.8502217 45.4043705)
ROMAGNESE,POINT (9.3236745 44.8367761)
BOSNASCO,POINT (9.3667852 45.0567946)
BERBENNO DI VALTELLINA,POINT (9.7359298 46.1987292)
LEFFE,POINT (9.8821244 45.7900837)
LOSINE,POINT (10.3087768 45.9798759)
CASSANO MAGNAGO,POINT (8.8278807 45.6723567)
LA VALLETTA BRIANZA,POINT (9.3624932 45.7287453)
SONDALO,POINT (10.3702976 46.3400941)
LODI,POINT (9.4972608 45.3151449)
TRAVAGLIATO,POINT (10.0764026 45.5193968)
VESCOVATO,POINT (10.168769 45.1629689)
ROGNANO,POINT (9.0873805 45.2975267)
BERTONICO,POINT (9.6800209 45.2451287)
GAZZADA SCHIANNO,POINT (8.8321773 45.7810359)
VERCEIA,POINT (9.4695694 46.1978439)
GALLARATE,POINT (8.7930563 45.6608129)
CORTE PALASIO,POINT (9.5682836 45.3096334)
CERVIGNANO D'ADDA,POINT (9.4303723 45.3738567)
CIGOLE,POINT (10.1859845 45.3139381)
BRUNATE,POINT (9.099524 45.8199228)
PADERNO PONCHIELLI,POINT (9.9250092 45.2334465)
SALE MARASINO,POINT (10.1324362 45.7051998)
MONTODINE,POINT (9.6977631 45.2785015)
LOZZA,POINT (8.8614467 45.7748154)
BLESSAGNO,POINT (9.1033663 45.9668059)
VIGEVANO,POINT (8.8849171 45.3077489)
CASTEL D'ARIO,POINT (10.9666753 45.1721342)
TORRE PALLAVICINA,POINT (9.8595855 45.4469904)
PALOSCO,POINT (9.8329256 45.5811568)
CAVA MANARA,POINT (9.1124866 45.1263759)
SEREGNO,POINT (9.2080052 45.6499801)
MOTTA BALUFFI,POINT (10.2440594 45.0458141)
FONTENO,POINT (10.0000259 45.7523491)
CORVINO SAN QUIRICO,POINT (9.1518749 45.0181118)
SAN MARTINO DEL LAGO,POINT (10.3185689 45.0796742)
CARUGO,POINT (9.1921141 45.7188105)
VIADANICA,POINT (9.9721967 45.6894659)
GROSIO,POINT (10.2248222 46.3460096)
LOMAZZO,POINT (9.0318001 45.6919312)
POZZAGLIO ED UNITI,POINT (10.0427491 45.2109525)
CAPIZZONE,POINT (9.5763726 45.7889862)
CETO,POINT (10.4034678 45.9938394)
ENDINE GAIANO,POINT (9.9792698 45.7831688)
PAVONE DEL MELLA,POINT (10.219999 45.3025036)
MACLODIO,POINT (10.0401079 45.4804271)
CASAZZA,POINT (9.9061547 45.7493147)
BARZANA,POINT (9.5689569 45.7311245)
PALAZZOLO SULL'OGLIO,POINT (9.8923022 45.5883486)
SAN DAMIANO AL COLLE,POINT (9.3521659 45.0334189)
CADREZZATE CON OSMATE,POINT (8.6495516 45.7946394)
VALVESTINO,POINT (10.5956144 45.7629535)
GENIVOLTA,POINT (9.8785945 45.3435692)
VESTONE,POINT (10.3984039 45.709664)
BERZO SAN FERMO,POINT (9.9128351 45.7148882)
CASTANA,POINT (9.2800211 45.0253599)
CASALMORANO,POINT (9.9088258 45.2928974)
CERCINO,POINT (9.5074906 46.1624133)
CEDEGOLO,POINT (10.3864315 46.0647716)
ESINE,POINT (10.2597511 45.8895027)
BELLINZAGO LOMBARDO,POINT (9.4451777 45.5343105)
GRAVEDONA ED UNITI,POINT (9.2191183 46.1576602)
IMBERSAGO,POINT (9.4455355 45.7082277)
SAN ROCCO AL PORTO,POINT (9.6924485 45.0827379)
LONATE CEPPINO,POINT (8.8809616 45.7102505)
SAN GIACOMO DELLE SEGNATE,POINT (11.0115592 44.9669582)
TORRICELLA DEL PIZZO,POINT (10.2858747 45.0149126)
MEZZANA RABATTONE,POINT (9.0372615 45.099714)
VARESE,POINT (8.8034482 45.8312096)
VELLEZZO BELLINI,POINT (9.1035868 45.2738396)
LUMEZZANE,POINT (10.2724752 45.6498683)
PIOLTELLO,POINT (9.3254903 45.48748)
INDUNO OLONA,POINT (8.8383755 45.8599878)
MESERO,POINT (8.8511309 45.4940509)
SAN GIOVANNI BIANCO,POINT (9.6488706 45.8849662)
CORNEGLIANO LAUDENSE,POINT (9.480608 45.2860962)
VALERA FRATTA,POINT (9.3347463 45.2545242)
ALBESE CON CASSANO,POINT (9.1634826 45.8116131)
VILLASANTA,POINT (9.3104702 45.6072424)
BRUNELLO,POINT (8.7991507 45.7660106)
PAGAZZANO,POINT (9.6742589 45.5359938)
GORLA MAGGIORE,POINT (8.9053247 45.6662714)
MASLIANICO,POINT (9.0478014 45.8460475)
VILLA BISCOSSI,POINT (8.7874322 45.0861029)
BARZAGO,POINT (9.3177465 45.7540728)
VIGANO',POINT (9.3288478 45.7221888)
SONDRIO,POINT (9.8614148 46.1846496)
BESOZZO,POINT (8.6464759 45.8508932)
SPIRANO,POINT (9.6691233 45.5821261)
FLERO,POINT (10.1699505 45.4799108)
GARBAGNATE MILANESE,POINT (9.0757857 45.5737152)
PIANENGO,POINT (9.7000668 45.4055792)
SAN PAOLO,POINT (10.0319619 45.3726734)
TREZZO SULL'ADDA,POINT (9.5045439 45.613357)
PIEVE D'OLMI,POINT (10.1298425 45.0721178)
RIVOLTA D'ADDA,POINT (9.515007 45.4613658)
TRUCCAZZANO,POINT (9.4723999 45.479425)
CASNIGO,POINT (9.8715959 45.8202086)
CANTELLO,POINT (8.891495 45.8271418)
CERGNAGO,POINT (8.7613763 45.1971544)
SUZZARA,POINT (10.7358249 45.0006224)
GODIASCO SALICE TERME,POINT (9.0646766 44.8900952)
BORGO PRIOLO,POINT (9.1491435 44.9566503)
FERRERA ERBOGNONE,POINT (8.8544594 45.1009971)
CARAVATE,POINT (8.6534927 45.8774431)
PANDINO,POINT (9.5396303 45.4096776)
CELLA DATI,POINT (10.2139217 45.088516)
TIRANO,POINT (10.1810014 46.2190123)
ALBUZZANO,POINT (9.2680622 45.1885882)
VIMERCATE,POINT (9.3657973 45.6127044)
ZIBIDO SAN GIACOMO,POINT (9.1091137 45.3734049)
TORRICELLA VERZATE,POINT (9.1721607 45.0245011)
MONZAMBANO,POINT (10.6644874 45.3822332)
PIEVE PORTO MORONE,POINT (9.4589364 45.1118075)
VELESO,POINT (9.1877402 45.9160482)
PADERNO DUGNANO,POINT (9.1691248 45.5719081)
CAVERNAGO,POINT (9.7621073 45.6218785)
GERMIGNAGA,POINT (8.7273762 45.9871411)
GRUMELLO CREMONESE ED UNITI,POINT (9.864717 45.2008177)
GONZAGA,POINT (10.8215055 44.9527127)
CARONA,POINT (9.83758 46.0270887)
BASIGLIO,POINT (9.1655594 45.3483485)
CASCIAGO,POINT (8.7711728 45.8327324)
COSTA SERINA,POINT (9.7455538 45.8225379)
SAN BASSANO,POINT (9.8009194 45.2389048)
CERETE,POINT (9.9986533 45.854489)
LAVENO - MOMBELLO,POINT (8.60826 45.9093826)
AVIATICO,POINT (9.7911409 45.7907963)
CAGLIO,POINT (9.2251746 45.871164)
VERTOVA,POINT (9.8147075 45.8306046)
CAMPOSPINOSO,POINT (9.2427306 45.1113335)
UBIALE CLANEZZO,POINT (9.6089907 45.7809888)
SAN GIULIANO MILANESE,POINT (9.2779177 45.3805448)
ROVELLO PORRO,POINT (9.0386019 45.6571552)
PONTE LAMBRO,POINT (9.2210507 45.828731)
RIPALTA CREMASCA,POINT (9.6835449 45.3285855)
VANZAGO,POINT (8.98542 45.51984)
CASTELLANZA,POINT (8.9002124 45.6091993)
GRASSOBBIO,POINT (9.7240696 45.649806)
MARCALLO CON CASONE,POINT (8.8644971 45.4869129)
INTROBIO,POINT (9.4791181 45.9973727)
PIARIO,POINT (9.9226666 45.8928837)
CUSANO MILANINO,POINT (9.1839256 45.5525467)
PARATICO,POINT (9.9576695 45.6566391)
CASIRATE D'ADDA,POINT (9.552903 45.4999622)
POLPENAZZE DEL GARDA,POINT (10.4986849 45.5461775)
CORTENUOVA,POINT (9.8004543 45.5335113)
VEDANO AL LAMBRO,POINT (9.2690366 45.6126984)
FERNO,POINT (8.7424443 45.6197179)
CHIUDUNO,POINT (9.8517368 45.6512305)
PONTEVICO,POINT (10.0994751 45.2784787)
ARESE,POINT (9.0725665 45.5489711)
TAVERNOLA BERGAMASCA,POINT (10.0442903 45.7001737)
CASTELBELFORTE,POINT (10.895661 45.2182431)
VAL BREMBILLA,POINT (9.5966574 45.8245182)
BAGNOLO MELLA,POINT (10.1849384 45.4202341)
ISSO,POINT (9.7431705 45.4702668)
PIZZIGHETTONE,POINT (9.7963225 45.1913075)
CIMBERGO,POINT (10.4064876 46.025573)
STRADELLA,POINT (9.3096521 45.0789631)
CAMPODOLCINO,POINT (9.3493153 46.4042956)
ZERBO,POINT (9.4018785 45.1074084)
MAGNACAVALLO,POINT (11.178536 45.0008441)
LANZADA,POINT (9.9114445 46.3126009)
POZZOLENGO,POINT (10.6202818 45.413014)
PROVAGLIO D'ISEO,POINT (10.0522784 45.6311328)
VOGHERA,POINT (9.0152132 45.0140292)
SAN PELLEGRINO TERME,POINT (9.6582463 45.8402349)
MONTICELLI PAVESE,POINT (9.510311 45.1075701)
GERENZANO,POINT (8.9903523 45.6329439)
CARPENEDOLO,POINT (10.4341456 45.3519243)
ROTA D'IMAGNA,POINT (9.5105682 45.8359535)
VALBRONA,POINT (9.3034588 45.8810324)
ONETA,POINT (9.8085301 45.8748855)
ALBAVILLA,POINT (9.1909781 45.8098788)
DUMENZA,POINT (8.7970507 46.0308562)
URGNANO,POINT (9.7083785 45.6018636)
CASTENEDOLO,POINT (10.2984224 45.4654188)
VILLANOVA DEL SILLARO,POINT (9.4703298 45.2415249)
VALDIDENTRO,POINT (10.2821375 46.508909)
FOPPOLO,POINT (9.7608402 46.0480525)
SUARDI,POINT (8.7429617 45.0267149)
RUDIANO,POINT (9.8942757 45.4854735)
OSTIANO,POINT (10.256203 45.2208366)
SOMAGLIA,POINT (9.640465 45.1515392)
BESNATE,POINT (8.7615188 45.7013909)
BUSTO GAROLFO,POINT (8.886681 45.5422464)
ALMENNO SAN BARTOLOMEO,POINT (9.569563 45.7480268)
CASLINO D'ERBA,POINT (9.2244185 45.8469811)
SOTTO IL MONTE GIOVANNI XXIII,POINT (9.5106908 45.7062593)
PIAZZA BREMBANA,POINT (9.6577132 45.9491572)
ORSENIGO,POINT (9.1730604 45.7778929)
CARIMATE,POINT (9.1097444 45.7075126)
ESINO LARIO,POINT (9.3514908 45.984062)
PESCHIERA BORROMEO,POINT (9.3043476 45.4423896)
MEDOLE,POINT (10.5170054 45.3230455)
SOLBIATE OLONA,POINT (8.8727627 45.649743)
RODERO,POINT (8.9182082 45.8244307)
SENIGA,POINT (10.1893966 45.246607)
TURANO LODIGIANO,POINT (9.6308167 45.2515276)
BESATE,POINT (8.9668646 45.3036192)
CASSAGO BRIANZA,POINT (9.2869921 45.73419)
LURANO,POINT (9.6416132 45.5685443)
LOCATE DI TRIULZI,POINT (9.2256433 45.3589707)
DOVERA,POINT (9.5362619 45.3655233)
AIRUNO,POINT (9.4209479 45.7558796)
ABBADIA CERRETO,POINT (9.5939256 45.3199052)
CARPIANO,POINT (9.2733049 45.3458591)
CAPO DI PONTE,POINT (10.3130353 46.0457042)
BRALLO DI PREGOLA,POINT (9.2835604 44.7218536)
CASALMORO,POINT (10.4137704 45.2710672)
PERSICO DOSIMO,POINT (10.0801957 45.1813514)
MALEGNO,POINT (10.2729038 45.9592413)
MACCASTORNA,POINT (9.8539401 45.1440654)
GAMBOLO',POINT (8.8810066 45.2560625)
TACENO,POINT (9.3612157 46.0139951)
ADRARA SAN MARTINO,POINT (9.9618999 45.7158824)
CARONNO VARESINO,POINT (8.8285691 45.7414352)
COSTA DE' NOBILI,POINT (9.3847885 45.1351997)
MONTICELLI BRUSATI,POINT (10.0977384 45.6359186)
LOCATE VARESINO,POINT (8.921228 45.6942692)
CASTELGERUNDO,POINT (9.740275 45.1992288)
CASALETTO CEREDANO,POINT (9.6185664 45.3108931)
BRUSAPORTO,POINT (9.7623057 45.6707945)
PIAN CAMUNO,POINT (10.1642269 45.8305144)
GARBAGNATE MONASTERO,POINT (9.3043717 45.7675249)
MONTICHIARI,POINT (10.3880848 45.4111469)
CAROBBIO DEGLI ANGELI,POINT (9.849277 45.6595301)
PROSERPIO,POINT (9.2529156 45.8305649)
VIONE,POINT (10.4401076 46.2600202)
PIEVE DEL CAIRO,POINT (8.8147063 45.0527771)
MOGLIA,POINT (10.9233205 44.952996)
PONCARALE,POINT (10.182875 45.4584157)
LISCATE,POINT (9.4072753 45.4721082)
VIDIGULFO,POINT (9.2351933 45.2910487)
PIEVE ALBIGNOLA,POINT (8.9639517 45.1029166)
CASSOLNOVO,POINT (8.793797 45.3690734)
BULCIAGO,POINT (9.2885643 45.7550685)
GAZZUOLO,POINT (10.5665297 45.0689399)
GAMBARANA,POINT (8.7698299 45.0423218)
PERLEDO,POINT (9.3012149 46.0180688)
MOTTA VISCONTI,POINT (8.9892975 45.2833694)
ORZINUOVI,POINT (9.9572339 45.3980011)
BAGNATICA,POINT (9.7662758 45.6568337)
SAN MARTINO DALL'ARGINE,POINT (10.5349121 45.0965056)
CUGLIATE - FABIASCO,POINT (8.8221449 45.9435251)
ISPRA,POINT (8.6115322 45.8112939)
CORNO GIOVINE,POINT (9.775594 45.1304633)
ABBADIA LARIANA,POINT (9.3566953 45.8964877)
BUSCATE,POINT (8.8148577 45.5441042)
LOMAGNA,POINT (9.3689965 45.6690623)
SIRTORI,POINT (9.3359058 45.7349247)
CASTIGLIONE OLONA,POINT (8.8671888 45.7538016)
MONTESEGALE,POINT (9.1261892 44.9068788)
CARNATE,POINT (9.3809613 45.6469554)
OSIO SOTTO,POINT (9.5865322 45.6134389)
GANDELLINO,POINT (9.9366567 46.007283)
LAVENA PONTE TRESA,POINT (8.8643645 45.959577)
CASNATE CON BERNATE,POINT (9.0740275 45.7604096)
CERNUSCO SUL NAVIGLIO,POINT (9.3334499 45.5241417)
CORNALBA,POINT (9.7590475 45.8556365)
PREGNANA MILANESE,POINT (9.0040849 45.5164973)
ZELBIO,POINT (9.1931199 45.9022487)
VALGREGHENTINO,POINT (9.4032507 45.7731945)
BEDIZZOLE,POINT (10.4169871 45.4989287)
PADERNO D'ADDA,POINT (9.4525741 45.6743742)
CARLAZZO,POINT (9.1551533 46.054346)
ROVATO,POINT (10.0119759 45.5480507)
AROSIO,POINT (9.2139388 45.7219982)
CASTEGGIO,POINT (9.1346613 45.0099693)
OLGIATE COMASCO,POINT (8.9682114 45.7821966)
FORTUNAGO,POINT (9.1864556 44.9109555)
PERTICA BASSA,POINT (10.3793804 45.7579346)
PRESEZZO,POINT (9.5701025 45.693909)
ACQUANEGRA CREMONESE,POINT (9.8895497 45.1762854)
ROBECCHETTO CON INDUNO,POINT (8.75923 45.5201088)
ANDALO VALTELLINO,POINT (9.4751339 46.1172945)
GRIANTE,POINT (9.2416741 45.9947736)
CREDERA RUBBIANO,POINT (9.648122 45.2960354)
CAVARGNA,POINT (9.0970991 46.1056525)
INARZO,POINT (8.7278827 45.7838368)
BLEVIO,POINT (9.1043108 45.8391599)
RIVA DI SOLTO,POINT (10.0327929 45.7652241)
PERTICA ALTA,POINT (10.34253 45.7490096)
BORGO VIRGILIO,POINT (10.7760154 45.0880323)
CAVRIANA,POINT (10.6167459 45.3344914)
ONO SAN PIETRO,POINT (10.2946709 46.0378662)
DORNO,POINT (8.9464651 45.1465506)
BREME,POINT (8.6209269 45.1303508)
CUVEGLIO,POINT (8.7473395 45.9110597)
VALLE SALIMBENE,POINT (9.2333035 45.160116)
TELGATE,POINT (9.8508251 45.619664)
MORTERONE,POINT (9.4834971 45.8795056)
CASTEGNATO,POINT (10.115266 45.5564573)
COGLIATE,POINT (9.0880612 45.6455111)
TRESCORE CREMASCO,POINT (9.6187162 45.3983498)
VILLA DI SERIO,POINT (9.7464976 45.7245297)
SAN GIOVANNI DEL DOSSO,POINT (11.0657449 44.9742452)
GAVIRATE,POINT (8.7250256 45.8439965)
MERATE,POINT (9.4172711 45.6985607)
GUIDIZZOLO,POINT (10.5706811 45.3106099)
CANZO,POINT (9.290514 45.8487505)
CUASSO AL MONTE,POINT (8.8674783 45.9090574)
FRASCAROLO,POINT (8.6907624 45.0405971)
GERRE DE'CAPRIOLI,POINT (10.0397415 45.0896695)
BOTTICINO,POINT (10.313434 45.549594)
CIVIDATE AL PIANO,POINT (9.8290707 45.5465091)
VALEGGIO,POINT (8.8727761 45.1497608)
BIZZARONE,POINT (8.9455487 45.8359393)
FIESCO,POINT (9.7798382 45.3347962)
PESCATE,POINT (9.3953704 45.8322457)
MANDELLO DEL LARIO,POINT (9.3448081 45.9177741)
PIEVE EMANUELE,POINT (9.1986975 45.353292)
TORRE DE' PICENARDI,POINT (10.2929741 45.1242285)
SAN ZENONE AL PO,POINT (9.3709248 45.1137894)
MONTIRONE,POINT (10.2296161 45.4472335)
MOZZANICA,POINT (9.693869 45.467309)
VALBREMBO,POINT (9.607549 45.7185327)
BODIO LOMNAGO,POINT (8.7512686 45.7912324)
POZZUOLO MARTESANA,POINT (9.4606411 45.5106604)
SUSTINENTE,POINT (11.0270769 45.0804366)
VEZZA D'OGLIO,POINT (10.3896882 46.2677146)
OLGIATE MOLGORA,POINT (9.4037077 45.7267118)
MARGNO,POINT (9.3899904 46.029714)
FIESSE,POINT (10.3332223 45.2278097)
SANT'OMOBONO TERME,POINT (9.5185573 45.8176596)
GANDINO,POINT (9.9288938 45.8269672)
GORNO,POINT (9.8439459 45.8733407)
PIADENA DRIZZONA,POINT (10.3696382 45.1348515)
LOVERO,POINT (10.2308044 46.2295306)
TROMELLO,POINT (8.8504104 45.2044497)
BREBBIA,POINT (8.6334134 45.8289562)
MONTESCANO,POINT (9.2895705 45.0272328)
BERNATE TICINO,POINT (8.8135319 45.4775494)
OSPITALETTO,POINT (10.0777621 45.552444)
GIUSSANO,POINT (9.2142814 45.6911637)
CAPRIANO DEL COLLE,POINT (10.1394852 45.4491189)
VILLANOVA D'ARDENGHI,POINT (9.0392587 45.167114)
CIVATE,POINT (9.3278834 45.8268388)
BARIANO,POINT (9.7069974 45.5137613)
ANNONE DI BRIANZA,POINT (9.3305397 45.8026376)
CASSANO VALCUVIA,POINT (8.7611254 45.9313021)
QUINGENTOLE,POINT (11.0413916 45.0347101)
BRACCA,POINT (9.7052224 45.8218701)
PARRE,POINT (9.8829154 45.9019189)
MAPELLO,POINT (9.5408583 45.7088081)
ANFO,POINT (10.4785931 45.7831307)
AZZANO SAN PAOLO,POINT (9.6813617 45.6584406)
BAGNOLO CREMASCO,POINT (9.6105525 45.3647304)
BORGHETTO LODIGIANO,POINT (9.5042865 45.2103443)
STAGNO LOMBARDO,POINT (10.0808412 45.0638845)
BEREGUARDO,POINT (9.0123942 45.2526681)
CORTE FRANCA,POINT (10.0012452 45.6289996)
CASTELLO CABIAGLIO,POINT (8.7603309 45.8860637)
CENTRO VALLE INTELVI,POINT (9.0612509 45.9444093)
LUINO,POINT (8.7512405 46.0002692)
MAGENTA,POINT (8.8621995 45.4511957)
CASOREZZO,POINT (8.9073754 45.5268241)
CERETTO LOMELLINA,POINT (8.6708047 45.2476798)
PIEVE SAN GIACOMO,POINT (10.1913054 45.1267696)
PIERANICA,POINT (9.6096613 45.428748)
VALFURVA,POINT (10.5119807 46.4171927)
ROZZANO,POINT (9.1638306 45.381658)
VERVIO,POINT (10.2063809 46.2595763)
BENE LARIO,POINT (9.1729789 46.0233903)
CHIAVENNA,POINT (9.4056066 46.3293014)
RESCALDINA,POINT (8.9539237 45.6241661)
MORIMONDO,POINT (8.9546753 45.3515969)
OSIO SOPRA,POINT (9.5855355 45.6308457)
MANERBA DEL GARDA,POINT (10.5800564 45.5523568)
MORENGO,POINT (9.7126846 45.539343)
AICURZIO,POINT (9.4146263 45.6444145)
BIANZANO,POINT (9.8974405 45.7745493)
MILZANO,POINT (10.1928441 45.2731537)
OLIVETO LARIO,POINT (9.2854392 45.9292601)
CASALBUTTANO ED UNITI,POINT (9.9663309 45.2457463)
VILLA D'ADDA,POINT (9.4664334 45.7149015)
TRONZANO LAGO MAGGIORE,POINT (8.7360544 46.0830524)
MUGGIO',POINT (9.2259427 45.5864027)
AGRATE BRIANZA,POINT (9.3611525 45.5746724)
CERIANO LAGHETTO,POINT (9.08062 45.6294231)
MALAGNINO,POINT (10.1194456 45.1275715)
CINISELLO BALSAMO,POINT (9.2236748 45.5579341)
BADIA PAVESE,POINT (9.4567241 45.1233029)
SPRIANA,POINT (9.882448 46.2151001)
PARABIAGO,POINT (8.9432965 45.5517035)
MARCARIA,POINT (10.5907731 45.1074146)
GRAFFIGNANA,POINT (9.448154 45.2076602)
SAN GIACOMO FILIPPO,POINT (9.3511048 46.3491595)
GORLAGO,POINT (9.8397573 45.6676852)
VOBARNO,POINT (10.4961292 45.675284)
QUINZANO D'OGLIO,POINT (10.0072502 45.3127619)
SOIANO DEL LAGO,POINT (10.5049887 45.5315384)
SALVIROLA,POINT (9.7896133 45.3596086)
MASATE,POINT (9.4659124 45.5671228)
FERRERA DI VARESE,POINT (8.7864868 45.930863)
CASALPUSTERLENGO,POINT (9.6247502 45.1971627)
TRAVEDONA - MONATE,POINT (8.6702538 45.8045551)
PONTE DI LEGNO,POINT (10.5090972 46.268726)
PIANICO,POINT (10.0391839 45.8064499)
CAPOVALLE,POINT (10.5361708 45.7454937)
TOSCOLANO MADERNO,POINT (10.6078566 45.6561145)
ROBECCO SUL NAVIGLIO,POINT (8.8701228 45.4252886)
MEDA,POINT (9.1591532 45.667246)
ROGENO,POINT (9.2697963 45.7874077)
PONTIDA,POINT (9.4879174 45.7323796)
ALME',POINT (9.614686 45.7385326)
CENE,POINT (9.848049 45.7796376)
OSPEDALETTO LODIGIANO,POINT (9.584676 45.1705068)
SAN GERVASIO BRESCIANO,POINT (10.1514763 45.3002527)
SUELLO,POINT (9.3175752 45.8198745)
BERNAREGGIO,POINT (9.4027833 45.648456)
CICOGNOLO,POINT (10.2034844 45.1634732)
SANTO STEFANO LODIGIANO,POINT (9.7436134 45.1156019)
CIGOGNOLA,POINT (9.2480645 45.0390517)
DOSSENA,POINT (9.7017575 45.8950501)
SPINONE AL LAGO,POINT (9.9192104 45.7659825)
PRIMALUNA,POINT (9.4273182 45.991147)
TRIUGGIO,POINT (9.2755029 45.666662)
SOVICO,POINT (9.2608669 45.6458664)
SPINEDA,POINT (10.5155158 45.0616744)
FARA OLIVANA CON SOLA,POINT (9.7346799 45.4910213)
ALAGNA,POINT (8.8921526 45.1655328)
BUBBIANO,POINT (9.0056116 45.3288345)
GAVERINA TERME,POINT (9.883512 45.7559931)
ARENA PO,POINT (9.3857662 45.0841537)
MORTARA,POINT (8.7438691 45.2469628)
COCQUIO - TREVISAGO,POINT (8.7030349 45.8635499)
COVO,POINT (9.7874231 45.5026222)
BARZANO',POINT (9.3118763 45.7302941)
SETTIMO MILANESE,POINT (9.054884 45.483485)
CARBONARA AL TICINO,POINT (9.0824911 45.1738189)
SOMMA LOMBARDO,POINT (8.6852884 45.6684618)
GOLFERENZO,POINT (9.3062025 44.9613872)
MELLO,POINT (9.5410351 46.170551)
ANGOLO TERME,POINT (10.134887 45.90298)
SILVANO PIETRA,POINT (8.9469504 45.0565693)
BESANO,POINT (8.9025635 45.88714)
LIERNA,POINT (9.3199196 45.9601478)
CASTELVECCANA,POINT (8.6660038 45.9443817)
GADESCO PIEVE DELMONA,POINT (10.1174492 45.1676633)
MONTEBELLO DELLA BATTAGLIA,POINT (9.0976459 45.0052915)
SEMIANA,POINT (8.7285455 45.140744)
FALOPPIO,POINT (8.969928 45.8087851)
CASSINA RIZZARDI,POINT (9.0270874 45.749643)
CASTELLO DELL'ACQUA,POINT (10.009071 46.1318291)
ORIGGIO,POINT (9.0071357 45.592387)
TALEGGIO,POINT (9.5729029 45.90236)
CAZZAGO SAN MARTINO,POINT (10.0323173 45.5655234)
PALAZZAGO,POINT (9.535884 45.7533234)
VAILATE,POINT (9.6011973 45.4572663)
FINO MORNASCO,POINT (9.0555181 45.7422646)
GROSOTTO,POINT (10.2270954 46.2955955)
GESSATE,POINT (9.4307773 45.5575809)
TAVAZZANO CON VILLAVESCO,POINT (9.410312 45.3339663)
CASTANO PRIMO,POINT (8.7604284 45.548296)
SAMARATE,POINT (8.7738541 45.6213038)
MADESIMO,POINT (9.3281389 46.4615916)
CECIMA,POINT (9.0726903 44.8412549)
PORTO VALTRAVAGLIA,POINT (8.6938363 45.9582462)
PANCARANA,POINT (9.0481089 45.0810505)
CHIARI,POINT (9.9173561 45.5272482)
TROVO,POINT (9.041438 45.2885593)
VERDELLO,POINT (9.6377609 45.6006782)
CASALETTO DI SOPRA,POINT (9.792812 45.4141451)
LOMELLO,POINT (8.7925924 45.1209784)
OTTOBIANO,POINT (8.8251469 45.1599014)
MARMIROLO,POINT (10.7488512 45.2558141)
ROVETTA,POINT (10.0035558 45.9078663)
ZECCONE,POINT (9.190081 45.2600074)
SEVESO,POINT (9.142502 45.6462207)
CARATE URIO,POINT (9.1173905 45.8804791)
SABBIONETA,POINT (10.5296974 45.0126191)
TEMU',POINT (10.4786464 46.2574403)
MARNATE,POINT (8.9143959 45.6308798)
